id;comment
1;"""The product is okay, nothing special. It does what it’s supposed to do."""
2;"""The packaging was fine and the product seems decent so far."""
3;"""still testing the product"""
4;"""the product meets basic espectation"""
5;"""very disappointing quality. It stopped working after just two days."""
6;"""verrible experience, I would not recommend this product to anyone"""
7;"""The product looks cheap and completely different from the photos."""
8;"""Customer support was unresponsive and didn’t help solve the problem."""
9;"""Not worth the money at all. I regret buying this."""
10;"""The design is sleek and performance is excellent."""
11;"""The product arrived earlier than expected and works perfectly."""
12;"""Great value for money. I will definitely purchase again."""
13;"""Customer service was very helpful and resolved my issue quickly."""